Año,Entidad,Tipo de delito,Subtipo de delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2020,Aguascalientes,Homicidio,Homicidio doloso,Con arma de fuego,3,6,3,4,6,5,7,3,1,1,,
2020,Aguascalientes,Homicidio,Homicidio doloso,Con arma blanca,0,1,2,0,2,1,1,1,1,0,,
2020,Aguascalientes,Homicidio,Homicidio doloso,Con otro elemento,1,2,2,0,3,2,1,2,0,3,,
2020,Aguascalientes,Homicidio,Homicidio doloso,No especificado,0,0,0,0,0,0,1,0,0,0,,
2020,Aguascalientes,Homicidio,Homicidio culposo,Con arma de fuego,0,0,0,0,0,0,0,0,0,0,,
2020,Aguascalientes,Homicidio,Homicidio culposo,Con arma blanca,0,0,0,0,0,0,0,0,0,0,,
2020,Aguascalientes,Homicidio,Homicidio culposo,En accidente de tránsito,11,7,15,17,12,12,13,15,10,10,,
2020,Aguascalientes,Homicidio,Homicidio culposo,Con otro elemento,0,0,0,0,0,0,0,0,0,0,,
2020,Aguascalientes,Homicidio,Homicidio culposo,No especificado,0,0,0,0,0,0,0,0,0,0,,
2020,Aguascalientes,Lesiones,Lesiones dolosas,Con arma de fuego,7,7,7,7,9,6,5,4,2,3,,
2020,Aguascalientes,Lesiones,Lesiones dolosas,Con arma blanca,12,15,14,9,8,11,18,12,12,8,,
2020,Aguascalientes,Lesiones,Lesiones dolosas,Con otro elemento,211,227,297,248,246,257,234,204,177,207,,
2020,Aguascalientes,Lesiones,Lesiones dolosas,No especificado,43,47,48,45,22,46,58,69,91,67,,
2020,Aguascalientes,Lesiones,Lesiones culposas,Con arma de fuego,0,1,0,0,0,0,0,0,0,0,,
2020,Aguascalientes,Lesiones,Lesiones culposas,Con arma blanca,0,0,0,0,0,0,0,0,0,0,,
2020,Aguascalientes,Lesiones,Lesiones culposas,En accidente de tránsito,82,63,72,39,38,61,57,47,52,55,,
2020,Aguascalientes,Lesiones,Lesiones culposas,Con otro elemento,0,0,0,0,0,0,0,0,0,0,,
2020,Aguascalientes,Lesiones,Lesiones culposas,No especificado,9,7,10,14,9,8,16,25,29,16,,
2020,Aguascalientes,Feminicidio,Feminicidio,Con arma de fuego,0,0,0,0,0,0,0,0,0,0,,
2020,Aguascalientes,Feminicidio,Feminicidio,Con arma blanca,1,0,0,0,0,0,0,0,0,0,,
2020,Aguascalientes,Feminicidio,Feminicidio,Con otro elemento,0,0,0,0,0,0,0,0,0,1,,
2020,Aguascalientes,Feminicidio,Feminicidio,No especificado,0,0,0,0,0,0,0,0,0,0,,
2020,Aguascalientes,Aborto,Aborto,Aborto,1,0,0,0,1,1,0,0,0,0,,
2020,Aguascalientes,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,4,4,2,1,2,7,7,3,5,2,,
2020,Aguascalientes,Secuestro,Secuestro,Secuestro extorsivo,2,0,0,0,0,0,0,1,0,0,,
2020,Aguascalientes,Secuestro,Secuestro,Secuestro con calidad de rehén,0,0,0,0,0,0,0,0,0,0,,
2020,Aguascalientes,Secuestro,Secuestro,Secuestro para causar daño,1,1,0,0,0,0,0,0,1,0,,
2020,Aguascalientes,Secuestro,Secuestro,Secuestro exprés,1,2,0,0,0,0,0,0,0,0,,
2020,Aguascalientes,Secuestro,Secuestro,Otro tipo de secuestros,0,0,0,0,0,0,0,0,0,0,,
2020,Aguascalientes,Tráfico de menores,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0,0,0,0,,
2020,Aguascalientes,Rapto,Rapto,Rapto,0,0,0,0,0,0,0,0,0,0,,
2020,Aguascalientes,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,36,32,57,24,30,31,34,31,28,38,,
2020,Aguascalientes,Abuso sexual,Abuso sexual,Abuso sexual,0,0,0,0,0,0,0,0,0,0,,
2020,Aguascalientes,Acoso sexual,Acoso sexual,Acoso sexual,0,0,0,0,0,0,0,0,0,0,,
2020,Aguascalientes,Hostigamiento sexual,Hostigamiento sexual,Hostigamiento sexual,6,6,10,5,6,6,5,9,4,13,,
2020,Aguascalientes,Violación simple,Violación simple,Violación simple,17,20,24,12,11,22,21,16,16,20,,
2020,Aguascalientes,Violación equiparada,Violación equiparada,Violación equiparada,11,8,1,8,6,6,5,9,11,10,,
2020,Aguascalientes,Incesto,Incesto,Incesto,0,0,0,0,0,0,0,0,0,0,,
2020,Aguascalientes,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,29,45,46,22,17,32,39,45,34,40,,
2020,Aguascalientes,Robo,Robo a casa habitación,Con violencia,5,2,8,5,6,7,4,5,8,6,,
2020,Aguascalientes,Robo,Robo a casa habitación,Sin violencia,229,216,250,142,137,201,187,199,186,235,,
2020,Aguascalientes,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,6,6,6,3,4,6,3,5,5,8,,
2020,Aguascalientes,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,120,110,132,83,79,73,74,83,74,70,,
2020,Aguascalientes,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,3,3,1,2,5,4,1,2,2,4,,
2020,Aguascalientes,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,59,54,51,29,28,30,31,50,41,49,,
2020,Aguascalientes,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Con violencia,0,0,0,0,0,0,0,0,0,0,,
